date,strategy,action,ticker,shares,price,reason
2026-06-19,골든크로스,BUY,002380,3,524000.0,진입
2026-06-19,ADX추세,BUY,005930,5,354000.0,진입
2026-06-19,ADX추세,BUY,402340,1,1780000.0,진입
2026-06-19,ADX추세,BUY,032830,4,497000.0,진입
2026-06-19,ADX추세,BUY,028260,4,491500.0,진입
2026-06-19,ADX추세,BUY,207940,1,1374000.0,진입
2026-06-19,ADX추세,BUY,034730,2,724000.0,진입
2026-06-19,ADX추세,BUY,000810,2,700000.0,진입
2026-06-19,ADX추세,BUY,024110,93,21450.0,진입
2026-06-19,ADX추세,BUY,240810,12,156000.0,진입
2026-06-19,ADX추세,BUY,004170,2,711000.0,진입
2026-06-19,듀얼모멘텀,BUY,005930,5,354000.0,진입
2026-06-19,듀얼모멘텀,BUY,402340,1,1780000.0,진입
2026-06-19,듀얼모멘텀,BUY,005935,8,222000.0,진입
2026-06-19,듀얼모멘텀,BUY,005380,3,613000.0,진입
2026-06-19,듀얼모멘텀,BUY,032830,4,497000.0,진입
2026-06-19,듀얼모멘텀,BUY,028260,4,491500.0,진입
2026-06-19,듀얼모멘텀,BUY,329180,2,667000.0,진입
2026-06-19,듀얼모멘텀,BUY,034020,20,97900.0,진입
2026-06-19,듀얼모멘텀,BUY,000270,12,154900.0,진입
2026-06-19,듀얼모멘텀,BUY,105560,12,158300.0,진입
2026-06-19,하이킨아시,BUY,005930,5,354000.0,진입
2026-06-19,하이킨아시,BUY,402340,1,1780000.0,진입
2026-06-19,하이킨아시,BUY,005935,8,222000.0,진입
2026-06-19,하이킨아시,BUY,032830,4,497000.0,진입
2026-06-19,하이킨아시,BUY,028260,4,491500.0,진입
2026-06-19,하이킨아시,BUY,034730,2,724000.0,진입
2026-06-19,하이킨아시,BUY,000810,2,700000.0,진입
2026-06-19,하이킨아시,BUY,000500,5,337500.0,진입
2026-06-19,하이킨아시,BUY,440110,19,101400.0,진입
2026-06-19,하이킨아시,BUY,347850,17,111200.0,진입
